ID,OEM,Model,Description,Image,Voltage,Minimum_Battery_Weight,Battery_Connector,Lead_Length,Termination,Length,Width,Height
75320,KALMAR AC,ET35AMX,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_714/kal_ac_3.jpg,36,1570.0,SB-350 Gray,14.0,B,38.8,21.3,24.0
75323,BT PRIME-MOVER,RCX30,Stand-Up Rider Electric,http://www.EQGURU.com/images/,36,1885.0,SB-350 Gray,25.0,C,38.8,16.1,31.5
75324,BT PRIME-MOVER,RCX35,Stand-Up Rider Electric,http://www.EQGURU.com/images/,36,2175.0,SB-350 Gray,25.0,C,38.8,18.38,31.5
75325,BT PRIME-MOVER,RCX40,Stand-Up Rider Electric,http://www.EQGURU.com/images/,36,2460.0,SB-350 Gray,25.0,C,38.8,20.75,31.5
75326,BT PRIME-MOVER,RCX50,Stand-Up Rider Electric,http://www.EQGURU.com/images/,36,2460.0,SB-350 Gray,25.0,C,38.8,20.75,31.5
75329,CLARK,TMX15S,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_706/tmx.jpg,48,1650.0,SB-350 Blue,18.0,A,38.8,13.75,31.0
75331,CLARK,TMX25,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_706/tmx.jpg,48,2590.0,SB-350 Blue,18.0,A,38.8,20.5,31.0
75333,BARRETT,WPB-60,Walkie Low-Lift Pallet,"http://www.EQGURU.com/images/L/wpb,0.jpg",24,800.0,SB-175 Gray,20.0,B,32.0,13.5,31.0
75334,BT PRIME-MOVER,RRX35,Narrow Aisle Single Reach,"http://www.EQGURU.com/images/L/rrx,0.jpg",24,2000.0,SB-350 Red,15.0,C,38.75,16.4,32.0
75335,BT PRIME-MOVER,RRX35,Narrow Aisle Single Reach,"http://www.EQGURU.com/images/L/rrx,1.jpg",36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
75336,BT PRIME-MOVER,RRX45,Narrow Aisle Single Reach,"http://www.EQGURU.com/images/L/rrx,2.jpg",36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
75337,BT PRIME-MOVER,RTX35,Narrow Aisle Single Reach,"http://www.EQGURU.com/images/L/rtx,0.jpg",24,1600.0,SB-350 Red,15.0,C,38.75,14.4,32.0
75338,BT PRIME-MOVER,RTX35,Narrow Aisle Single Reach,"http://www.EQGURU.com/images/L/rtx,1.jpg",36,1600.0,SB-350 Gray,15.0,C,38.75,14.4,32.0
75339,BT PRIME-MOVER,RTX45,Narrow Aisle Single Reach,"http://www.EQGURU.com/images/L/rtx,2.jpg",36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
75340,BT PRIME-MOVER,RDX30,Narrow Aisle Double Reach,"http://www.EQGURU.com/images/L/rrx,3.jpg",36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
75342,BT PRIME-MOVER,OE35,Counterbalanced Order Picker,http://www.EQGURU.com/images/,24,1100.0,SB-350 Red,18.0,B,36.25,13.875,31.5
75343,BT PRIME-MOVER,OE35,Counterbalanced Order Picker,http://www.EQGURU.com/images/,36,1100.0,SB-350 Gray,18.0,B,38.25,13.875,31.5
75344,BT PRIME-MOVER,OPX30,Counterbalanced Order Picker,"http://www.EQGURU.com/images/L/opx,0.jpg",24,1500.0,SB-350 Red,15.0,C,36.25,13.875,31.5
75345,BT PRIME-MOVER,OPX30,Counterbalanced Order Picker,"http://www.EQGURU.com/images/L/opx,1.jpg",36,1650.0,SB-350 Gray,15.0,C,36.25,13.875,31.5
75346,BT PRIME-MOVER,PMX,Walkie Low-Lift Pallet,"http://www.EQGURU.com/images/L/pmx1,0.jpg",24,200.0,SB-175 Red,18.0,B,28.25,9.0,24.0
75347,BT PRIME-MOVER,RMX50,Walkie Low-Lift Pallet,"http://www.EQGURU.com/images/L/rmx,0.jpg",12,400.0,SB-175,15.0,B,31.75,13.313,32.0
75348,BT PRIME-MOVER,RMX65,Walkie Low-Lift Pallet,"http://www.EQGURU.com/images/L/rmx,2.jpg",24,900.0,SB-175 Red,15.0,B,31.75,13.3,32.0
